bcsmcds
=========================================

Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Error - CQL source was not associated with a library resource in the IG. (PROCESSING)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Library/PrimaryScreeningDecision.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Library/ScreeningEligible.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Library/ScreeningEligibleActions.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Library/ScreeningEligibleEvents.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
Generic: line 0, col 0, Warning - Unable to find ImplementationGuide.definition.resource.description for the resource Library/DecisionToScreen.  Descriptions are strongly encouraged if they cannot be inferred from the resource to allow proper population of the artifact list. (INVARIANT)
